id,doc,chain,sourceLink,token,gapWords,roleType,charCount,tokenCount,gapUnits,kind,endNote,lit,POS_dft,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,trailLayer,chainSize,entityType,layer,unitSeqFirst,unitSeqLast,treeEntry,combinedChunk,TextNoTsheg,TextNoCase,case,yang,ni,possessor,person,id_lower,doc_lower,unitStart,unitEnd,pID,inClique,srtLineStart,srtLineBo,iuEnd,iuStart,srtLineEn,iu,srtLineID,iuText,speaker,srtLineEnd,word_lower,wordWylie_lower,docTokenSeqFirst_lower,docTokenSeqLast_lower,reflexive,pronType,definite,identifiable,semrole,lexicality,referential,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,verbTokenSeqFirst,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local,argOrder,noArgs,argBack,justFirst,justLast,interrog,argType,topic,animate,self,addressee,length,pronom,argTypeNew
7C315A223EF2,three-friction-2883,2EC8456CE885B,,37F05C2DA4497,N/A,P,4,1,N/A,,,,,'di ,འདི་,2,2,350,350,42,khyim bdag tshogs 'du dang glog rin,NA,1,abstract,refexpr,65,65,297DAA6CA1CEF,,འདི,འདི,NA,,,FALSE,3,93CBCE6DEA1D,three-friction-2883,79.48295568387364,80.59711157834731,NA,NA,75.666,འདིར་༿འི་༾འདི་གློག་རིན་བསྐྱལ་དགོས་ཀྱིས་ད་འདི་ཁྱེད་རང་གིས་གནང་ཨ་དེ་རིང་། ,80.59711157834731,79.48295568387364,"Here, this is the electricity bill. We have to go pay it. Today you do this.",65,22,ད་འདི་ཁྱེད་རང་གིས་གནང་ཨ་,ཨ་མ་ལགས་,79.914,ད་ འདི་ ཁྱེད་རང་ གིས་ གནང་ ཨ་,da  'di  khyed rang  gis  gnang  a ,349,354,N,dem,d,2,theme,p,R,ད་ འདི་ ཁྱེད་རང་ གིས་ གནང་ ཨ་,22AF41FFB4A24,2F0F05BC5CE1A,གནང་ ཨ་,གནང,ཨ,Ind,None,Neutral,NA,353,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,0,0,0,P,1,0,0,0,0.6931471805599453,1,P
27E7B887A58FA,three-friction-2883,3560A34174F82,125B7813F904B,CBA37E02E16B,27,A,13,2,5,,,,,khyed rang  gis ,ཁྱེད་རང་ གིས་,3,4,351,352,1,pa lags,NA,23,person,refexpr,65,65,31BD37BBC1F53,,ཁྱེད་རང་ གིས,ཁྱེད་རང,གིས,,,FALSE,2,93CBCE6DEA1D,three-friction-2883,79.48295568387364,80.59711157834731,NA,NA,75.666,འདིར་༿འི་༾འདི་གློག་རིན་བསྐྱལ་དགོས་ཀྱིས་ད་འདི་ཁྱེད་རང་གིས་གནང་ཨ་དེ་རིང་། ,80.59711157834731,79.48295568387364,"Here, this is the electricity bill. We have to go pay it. Today you do this.",65,22,ད་འདི་ཁྱེད་རང་གིས་གནང་ཨ་,ཨ་མ་ལགས་,79.914,ད་ འདི་ ཁྱེད་རང་ གིས་ གནང་ ཨ་,da  'di  khyed rang  gis  gnang  a ,349,354,N,pers,d,2,agent,p,R,ད་ འདི་ ཁྱེད་རང་ གིས་ གནང་ ཨ་,22AF41FFB4A24,2F0F05BC5CE1A,གནང་ ཨ་,གནང,ཨ,Ind,None,Neutral,NA,353,0.6931471805599453,0.6931471805599453,0,0.6931471805599453,8,4,8,4,2.0794415416798357,3,2.1972245773362196,3,0,0,1,2,2,1,0,0,0,A,0,1,0,1,1.3862943611198906,1,Base
364557C9B7F30,three-friction-2883,364E26567F433,6747A7033068,2B71B20A51C4A,15,OBL,18,3,2,,,,,glog rin  rkub  la ,གློག་རིན་ རྐུབ་ ལ་,4,6,457,459,41,glog rin,NA,5,quantity,refexpr,88,88,2DE31CBA38728,,གློག་རིན་ རྐུབ་ ལ,གློག་རིན་རྐུབ,ལ,,,FALSE,3,E1E180D28A66,three-friction-2883,98.14448796380488,99.15419174317165,NA,NA,97.069,ཡང་མིན་ན་གློག་རིན་རྐུབ་༿རྗེས་༾ལ་ཁྱེད་རང་ཐད་་་་,99.15419174317165,98.14448796380488,"Either you go pay the electricity bill,",88,31,ཡང་མིན་ན་གློག་རིན་རྐུབ་༿རྗེས་༾ལ་ཁྱེད་རང་ཐད་་་་,པ་ལགས་,98.66,ཡང་ མིན་ ན་ གློག་རིན་ རྐུབ་ ལ་,yang  min  na  glog rin  rkub  la ,454,459,N,nonPron,na,2,NA,l,R,ཡང་ མིན་ ན་ གློག་རིན་ རྐུབ་ ལ་,3054E2BCA3565,101364B8E1494,ཐད་,ཐད,,Ind,None,Neutral,NA,461,0.6931471805599453,0,0.6931471805599453,0,3,0,1,0,1.0986122886681098,0,0,0,0,0,0,1,2,2,0,0,0,E,1,0,0,0,1.6094379124341003,0,E
21474C8E3FC41,three-friction-2883,1DC51B6CA2FE9,22851F16B8315,36B267544CD21,19,S,8,1,3,,,,,khyed rang ,ཁྱེད་རང་,1,1,460,460,4,a ma lags,NA,29,person,refexpr,89,89,126D414431738,,ཁྱེད་རང,ཁྱེད་རང,NA,,,FALSE,2,334755F036D17,three-friction-2883,99.15419174317165,99.52519626992756,NA,NA,97.069,ཡང་མིན་ན་གློག་རིན་རྐུབ་༿རྗེས་༾ལ་ཁྱེད་རང་ཐད་་་་,99.52519626992756,99.15419174317165,"Either you go pay the electricity bill,",89,31,ཁྱེད་རང་ཐད་་་་,པ་ལགས་,98.66,ཁྱེད་རང་ ཐད་ ་་་,khyed rang  thad     ,460,462,N,pers,d,2,agent,p,R,ཁྱེད་རང་ ཐད་ ་་་,3054E2BCA3565,101364B8E1494,ཐད་,ཐད,,Ind,None,Neutral,NA,461,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,15,9,3,9,2.70805020110221,8,0.6931471805599453,8,0,0,1,2,2,1,0,0,0,S,0,1,0,1,1.0986122886681098,1,Base
212CFAC7362DC,three-friction-2883,C564F72B33EB,1750C2F3EF8AB,CDD5582DC217,39,OBL,22,4,7,,,,,khyim bdag  rkub  la  yang ,ཁྱིམ་བདག་ རྐུབ་ ལ་ ཡང་,1,4,466,469,39,khyim bdag tshogs 'du,NA,4,event,refexpr,91,91,208F43F9A7B34,,ཁྱིམ་བདག་ རྐུབ་ ལ་ ཡང,ཁྱིམ་བདག་རྐུབ,ལ,ཡང,,FALSE,3,2C26B1A78FA95,three-friction-2883,100.92217094769545,101.7577878685507,NA,NA,98.66,ཡང་མིན་ན་ཁྱིམ་བདག་རྐུབ་༿རྗེས་༾ལ་ཡང་ཁྱེད་རང་ཐད་་,101.7577878685507,100.92217094769545,"Or you go to the meeting,",91,32,ཁྱིམ་བདག་རྐུབ་ལ་ཡ་,པ་ལགས་,101.273,ཁྱིམ་བདག་ རྐུབ་ ལ་ ཡང་,khyim bdag  rkub  la  yang ,466,469,N,nonPron,na,2,NA,l,R,ཁྱིམ་བདག་ རྐུབ་ ལ་ ཡང་,CA24B77C0025,2D2A00720DC77,ཐད་་,ཐད་,,Ind,None,Neutral,NA,471,0.6931471805599453,0,0,0,3,0,0,0,1.0986122886681098,0,0,0,0,0,0,1,2,2,0,0,0,E,1,0,0,0,1.791759469228055,0,E
D50B15DE7A21,three-friction-2883,1DC51B6CA2FE9,128B86B614743,152FB766B8FD9,10,S,8,1,3,,,,,khyed rang ,ཁྱེད་རང་,1,1,470,470,4,a ma lags,NA,29,person,refexpr,92,92,23A0DB7DA19FE,,ཁྱེད་རང,ཁྱེད་རང,NA,,,FALSE,2,1BE6F780A65FF,three-friction-2883,101.7577878685507,102.19300501482948,NA,NA,98.66,ཡང་མིན་ན་ཁྱིམ་བདག་རྐུབ་༿རྗེས་༾ལ་ཡང་ཁྱེད་རང་ཐད་་,102.19300501482948,101.7577878685507,"Or you go to the meeting,",92,32,ཁྱེད་རང་ཐད་་,པ་ལགས་,101.273,ཁྱེད་རང་ ཐད་་,khyed rang  thad  ,470,471,N,pers,d,2,theme,p,R,ཁྱེད་རང་ ཐད་་,CA24B77C0025,2D2A00720DC77,ཐད་་,ཐད་,,Ind,None,Neutral,NA,471,1.0986122886681098,0,0.6931471805599453,0,16,9,2,9,2.70805020110221,9,0.6931471805599453,9,0,0,1,2,2,1,0,0.6931471805599453,0,S,0,1,0,1,1.0986122886681098,1,Base
198B0392148A8,virginia-library-20766,TAjiKgUj08B,1BC1DBA23907A,E1A2789EDE05,0,P,14,2,0,,,,,phyag dpe  kha shas ,ཕྱག་དཔེ་ ཁ་ཤས་,3,4,274,275,150,phyag dpe (bod nang nas),NA,29,NA,refexpr,66,66,vTfxQiE8K9p,,ཕྱག་དཔེ་ ཁ་ཤས,ཕྱག་དཔེ་ཁ་ཤས,NA,,,FALSE,3,2F7ED559C2CBE,virginia-library-20766,56.96535223652846,58.76066018085048,NA,NA,56.833,ལགས་སོ། ཨ་ནི་འདི་པ་ཕྱག་དཔེ་ཁ་ཤས་ཡང་ལྷ་ས་མི-ཨངམི་རིགས་དཔར་བསྐྲུན་ཁང་དང་། ཡང་པེ་ཅིང་འདི་པ་ནས་འདུག་ཟེེ་གདན་འདྲེན་ཞུས་པ་འདི་འདྲས་ཡོག་རེད་པས། ,58.76066018085048,56.96535223652846,I see. Are some of the scriptures sent from the Nationalities Languages Press in Lhasa or Beijing?,66,24,ཨ་ནི་འདི་པ་ཕྱག་དཔེ་ཁ་ཤས་ཡང་,སློབ་ཕྲུག་,64.266,ཨ་ནི་ འདི་པ་ ཕྱག་དཔེ་ ཁ་ཤས་ ཡང་,a ni  'di pa  phyag dpe  kha shas  yang ,272,276,N,nonPron,i,1,theme,l,NR,ཨ་ནི་ འདི་པ་ ཕྱག་དཔེ་ ཁ་ཤས་ ཡང་,n99TiyDjvWh,2618661069EEA,ཞུས་པ་,ཞུས,པ་ འདི་འདྲས་ ཡོད་ རེད་ པས,Q,Ind,Neutral,NA,294,0,0,1.9459101490553132,0,0,0,18,0,0,0,2.5649493574615367,0,0,0,0,1,2,2,0,0,0,P,NA,0,0,0,1.6094379124341003,0,P
7WUzZytXaDu4Y,virginia-library-20766,ATJHQeLC3MJ,,ORHzXA39BxpwL,N/A,OBL,43,8,N/A,,,,,lha sa  mi[-] ang mi rigs  dpar bskrun  khang  dang  / yang  pe cing  'di pa  nas ,ལྷ་ས་ མི- ཨང མི་རིགས་ དཔར་བསྐྲུན་ ཁང་ དང་ ། ཡང་ པེ་ཅིང་ འདི་པ་ ནས་,1,9,278,289,148,Trail 148,NA,2,NA,refexpr,67,68,bFzONL2JfMu,combined,ལྷ་ས་ མི- ཨང མི་རིགས་ དཔར་བསྐྲུན་ ཁང་ དང་ ། ཡང་ པེ་ཅིང་ འདི་པ་ ནས,ལྷ་ས་མི-ཨངམི་རིགས་དཔར་བསྐྲུན་ཁང་དང་།ཡང་པེ་ཅིང་འདི་པ,ནས,,,FALSE,3,1E52FF12BA804,virginia-library-20766,60.659932654422526,61.85680461730387,NA,NA,56.833,ལགས་སོ། ཨ་ནི་འདི་པ་ཕྱག་དཔེ་ཁ་ཤས་ཡང་ལྷ་ས་མི-ཨངམི་རིགས་དཔར་བསྐྲུན་ཁང་དང་། ཡང་པེ་ཅིང་འདི་པ་ནས་འདུག་ཟེེ་གདན་འདྲེན་ཞུས་པ་འདི་འདྲས་ཡོག་རེད་པས། ,61.85680461730387,60.659932654422526,I see. Are some of the scriptures sent from the Nationalities Languages Press in Lhasa or Beijing?,68,24,ཡང་པེ་ཅིང་འདི་པ་ནས་,སློབ་ཕྲུག་,64.266,ཡང་ པེ་ཅིང་ འདི་པ་ ནས་ /,yang  pe cing  'di pa  nas  ,286,290,N,nonPron,na,2,source,l,R,ཡང་ པེ་ཅིང་ འདི་པ་ ནས་ /,n99TiyDjvWh,2618661069EEA,ཞུས་པ་,ཞུས,པ་ འདི་འདྲས་ ཡོད་ རེད་ པས,Q,Ind,Neutral,NA,294,0.6931471805599453,0,0.6931471805599453,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,E,NA,0,0,0,2.8903717578961645,0,E
2ABB33F74A383,virginia-library-20766,416932F78BD3,19B1048348904,CE2B84B3B535,22,P,7,2,4,,,,,'di  ni,འདི་ ནི,1,2,301,302,38,lha sa mi rigs dpar bskrun khang,NA,3,organization,refexpr,71,71,2B7DE8C7962AC,,འདི་ ནི,འདི,NA,,ནི,FALSE,3,38D752300CCF0,virginia-library-20766,64.9212655477386,69.92581098592657,NA,NA,64.267,ཨང་འདི་ནིང་ཚོ་དམིགས་བསལ་གྱི་དེང་སང་ཅིག་ལྟ་གཅིག་ལེབ་རྦ་རི་༼དཔེ་མཛོད་ཁང་༽ཐད་ཀར་འབྱོར་པ་འདི་འདྲས་མེད། ,69.92581098592657,64.9212655477386,The library do not receive any book specifically from there.,71,25,འདི་ནིང་ཚོ་དམིགས་བསལ་གྱི་དེང་སང་ཅིག་ལྟ་གཅིག་ལེབ་རྦ་རི་༼དཔེ་མཛོད་ཁང་༽ཐད་ཀར་འབྱོར་པ་འདི་འདྲས་མེད། ,དཔེ་མཛོད་དོ་དམ་པ་,70.066,འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །,'di  ni nga  tsho  dmigs bsal  gyi  deng sang  cig  lta  gcig  leb rba ri  thad ka ra  'byor pa  'di 'dras  med /,301,317,N,nonPron,d,2,theme,l,R,འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །,1BB259E4A4ACC,1A36913FD6DF4,འབྱོར་པ་ འདི་འདྲས་ མེད,འབྱོར,པ་ འདི་འདྲས་ མེད,Ind,Ego,Neutral,NA,314,0.6931471805599453,0,0.6931471805599453,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,P,NA,0,0,0,0.6931471805599453,0,P
1899A138AD1C1,virginia-library-20766,7067EA096CC1,1F9551222E03B,19A9DEA2545AB,25,A,6,2,4,,,,,nga  tsho ,ང་ ཚོ་,3,4,303,304,27,dpe mdzod khang gi las byed pa,NA,19,person,refexpr,71,71,34EEE7F9379EF,,ང་ ཚོ,ང་ཚོ,NA,,,FALSE,1,38D752300CCF0,virginia-library-20766,64.9212655477386,69.92581098592657,NA,NA,64.267,ཨང་འདི་ནིང་ཚོ་དམིགས་བསལ་གྱི་དེང་སང་ཅིག་ལྟ་གཅིག་ལེབ་རྦ་རི་༼དཔེ་མཛོད་ཁང་༽ཐད་ཀར་འབྱོར་པ་འདི་འདྲས་མེད། ,69.92581098592657,64.9212655477386,The library do not receive any book specifically from there.,71,25,འདི་ནིང་ཚོ་དམིགས་བསལ་གྱི་དེང་སང་ཅིག་ལྟ་གཅིག་ལེབ་རྦ་རི་༼དཔེ་མཛོད་ཁང་༽ཐད་ཀར་འབྱོར་པ་འདི་འདྲས་མེད། ,དཔེ་མཛོད་དོ་དམ་པ་,70.066,འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །,'di  ni nga  tsho  dmigs bsal  gyi  deng sang  cig  lta  gcig  leb rba ri  thad ka ra  'byor pa  'di 'dras  med /,301,317,N,pers,d,2,agent,p,R,འདི་ ནི ང་ ཚོ་ དམིགས་བསལ་ གྱི་ དེང་སང་ ཅིག་ ལྟ་ གཅིག་ ལེབ་རྦ་རི་ ཐད་ཀ ར་ འབྱོར་པ་ འདི་འདྲས་ མེད །,1BB259E4A4ACC,1A36913FD6DF4,འབྱོར་པ་ འདི་འདྲས་ མེད,འབྱོར,པ་ འདི་འདྲས་ མེད,Ind,Ego,Neutral,NA,314,0,1.3862943611198906,0.6931471805599453,1.3862943611198906,3,5,9,5,1.3862943611198906,2,2.1972245773362196,2,0,0,1,2,2,1,0,0,0,A,NA,1,1,0,1.0986122886681098,1,Base
370DBAF338661,virginia-library-20766,325EE37176492,231C6389A2990,3558083145F65,18,LVP,10,2,4,,,,,kha shas  shig ,ཁ་ཤས་ ཤིག་,1,2,591,592,83,bod skad nang bris pa'i rgyal rabs kyi deb,NA,4,thing,refexpr,123,123,37AE9F496C59E,,ཁ་ཤས་ ཤིག,ཁ་ཤས་ཤིག,NA,,,FALSE,3,12FA31857E9C0,virginia-library-20766,131.9144834840754,133.3790514810755,NA,NA,121.467,དེ་འདྲས་འདྲ་པོ་ཨང་ཁ་ཤས་ཤིག་ང་ཨང་མཁོ་སྒྲུབ་ཞུ་གི་ཡོད། ,133.3790514810755,131.9144834840754,"I also need books published in India. Besides those, if you have any history books written by westerners, I also need a few of them.",123,45,ཁ་ཤས་ཤིག་ང་ཨང་,སློབ་ཕྲུག་,134.166,ཁ་ཤས་ ཤིག་ ང་ ཨང་,kha shas  shig  nga  ang ,591,594,N,nonPron,i,1,NA,l,R,ཁ་ཤས་ ཤིག་ ང་ ཨང་,12C84D89A3B8,1E33C144CFADF,ཞུ་ གི་ ཡོད,ཞུ,གི་ ཡོད,Ind,Ego,Pres,NA,596,1.3862943611198906,0.6931471805599453,0,0.6931471805599453,3,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,P,NA,0,0,0,1.3862943611198906,0,P
233CAD1C34F49,virginia-library-20766,1C86F27356586,E9891FDACD46,37802B215E029,66,LVA,2,1,11,,,,,nga ,ང་,3,3,593,593,1,slob phrug,NA,21,person,refexpr,123,123,8F4CC67F02A0,,ང,ང,NA,,,FALSE,1,12FA31857E9C0,virginia-library-20766,131.9144834840754,133.3790514810755,NA,NA,121.467,དེ་འདྲས་འདྲ་པོ་ཨང་ཁ་ཤས་ཤིག་ང་ཨང་མཁོ་སྒྲུབ་ཞུ་གི་ཡོད། ,133.3790514810755,131.9144834840754,"I also need books published in India. Besides those, if you have any history books written by westerners, I also need a few of them.",123,45,ཁ་ཤས་ཤིག་ང་ཨང་,སློབ་ཕྲུག་,134.166,ཁ་ཤས་ ཤིག་ ང་ ཨང་,kha shas  shig  nga  ang ,591,594,N,pers,d,2,agent,p,R,ཁ་ཤས་ ཤིག་ ང་ ཨང་,12C84D89A3B8,1E33C144CFADF,ཞུ་ གི་ ཡོད,ཞུ,གི་ ཡོད,Ind,Ego,Pres,NA,596,0,0,0,0,8,8,2,8,2.1972245773362196,8,1.0986122886681098,8,0,0,1,2,2,1,0,0,0,A,NA,1,1,0,0.6931471805599453,1,Base
242226730EC91,virginia-library-20766,165E8123DA835,13F7F2F6D760B,34D1B6CB7FF0E,22,OBL,15,3,5,,,,,'og khang  'di  la ,འོག་ཁང་ འདི་ ལ་,3,5,909,911,112,'og thog,NA,3,location,refexpr,198,198,1E34C6B20E642,,འོག་ཁང་ འདི་ ལ,འོག་ཁང་འདི,ལ,,,FALSE,3,2A4B1349143AE,virginia-library-20766,206.90534931233205,208.04950155535698,NA,NA,205.067,ཨ་ནི་ང་ལ་ཁ་ཤས་ཤིག་གཡར་དགོས་ཀྱི་འདུགབྱས་ཙང་འོག་ཁང་འདི་ལ་ཡ་གཅིག་ཁྱེད་རང་ཕེབས་ཡག་ཐུབ་ཀྱི་ཡོད་དམ། ,208.04950155535698,206.90534931233205,I need to borrow some books. Can you please come with me to the basement?,198,64,བྱས་ཙང་འོག་ཁང་འདི་ལ་ཡ་,སློབ་ཕྲུག་,210.366,བྱས་ ཙང་ འོག་ཁང་ འདི་ ལ་ ཡ་,byas  tsang  'og khang  'di  la  ya ,907,912,N,nonPron,d,2,location/goal,l,R,བྱས་ ཙང་ འོག་ཁང་ འདི་ ལ་ ཡ་,156EFC83E2117,1CB3F43EB9C0A,ཕེབས་ ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ,ཕེབས,ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ,Q,Ego,Pres,NA,915,0.6931471805599453,0,0,0,1,0,1,0,0,0,0.6931471805599453,0,0,0,0,1,2,2,0,0.6931471805599453,0,E,NA,0,0,0,1.6094379124341003,0,E
A3B2B889AA38,virginia-library-20766,E6AA1E19F58C,15210B4CA5636,36391B92B851E,16,S,8,1,3,,,,,khyed rang ,ཁྱེད་རང་,1,1,914,914,2,dpe mdzod do dam pa,NA,8,person,refexpr,200,200,1D4FF2CE68450,,ཁྱེད་རང,ཁྱེད་རང,NA,,,FALSE,2,2BA0C2E50F900,virginia-library-20766,209.30055787025782,210.450165007688,NA,NA,205.067,ཨ་ནི་ང་ལ་ཁ་ཤས་ཤིག་གཡར་དགོས་ཀྱི་འདུགབྱས་ཙང་འོག་ཁང་འདི་ལ་ཡ་གཅིག་ཁྱེད་རང་ཕེབས་ཡག་ཐུབ་ཀྱི་ཡོད་དམ། ,210.450165007688,209.30055787025782,I need to borrow some books. Can you please come with me to the basement?,200,64,ཁྱེད་རང་ཕེབས་ཡག་ཐུབ་ཀྱི་ཡོད་དམ། ,སློབ་ཕྲུག་,210.366,ཁྱེད་རང་ ཕེབས་ ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ །,khyed rang  phebs  ya thub  kyi  yod  dam /,914,921,N,pers,d,2,agent,p,R,ཁྱེད་རང་ ཕེབས་ ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ །,156EFC83E2117,1CB3F43EB9C0A,ཕེབས་ ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ,ཕེབས,ཡ་ ཐུབ་ ཀྱི་ ཡོད་ དམ,Q,Ego,Pres,NA,915,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,3,3,1,3,1.3862943611198906,2,0,2,0,0,1,2,2,1,0,0,0,S,NA,1,0,1,1.0986122886681098,1,Base
231BDE49D4B07,three-chupa-8346,1E177892CF92C,,2E1333BB156B8,N/A,EXIST,4,1,N/A,,,,,dngul,དངུལ,2,2,1243,1243,136,dngul (on sgrol dkar currently),NA,1,thing,refexpr,284,284,192DFD86ECDE4,,དངུལ,དངུལ,NA,,,FALSE,3,CF441D36AB14,three-chupa-8346,359.060022675737,360.55052154195016,NA,NA,356.867,དངུལད་ལྟ་འདིརཞེ་དྲག་མེད། ,360.55052154195016,359.060022675737,,284,89,དངུལད་ལྟ་འདིརཞེ་དྲག་མེད། ,སྒྲོལ་དཀར་,360.433,<0> དངུལ ད་ལྟ་ འདི ར ཞེ་དྲག་ མེད །, dngul da lta  'di ra zhe drag  med /,1242,1249,N,nonPron,na,1,none,l,R,<0> དངུལ ད་ལྟ་ འདི ར ཞེ་དྲག་ མེད །,4A3B06568C18,26D84D16131D9,མེད,མེད,,Ind,Ego,Neutral,NA,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,EXIST,1,0,0,0,0,0,EXIST
