id,doc,chain,sourceLink,token,gapWords,TrailSeq,charCount,tokenCount,gapUnits,roleType,kind,endNote,lit,POS_dft,wordWylie,word,tokenOrderFirst,tokenOrderLast,docTokenSeqFirst,docTokenSeqLast,chainCreateSeq,name,trailLayer,chainSize,entityType,layer,unitSeqFirst,unitSeqLast,treeEntry,combinedChunk,TextNoTsheg,TextNoCase,case,yang,ni,possessor,person,id_lower,doc_lower,unitStart,unitEnd,pID,inClique,srtLineStart,srtLineBo,iuEnd,iuStart,srtLineEn,iu,srtLineID,iuText,speaker,srtLineEnd,word_lower,wordWylie_lower,docTokenSeqFirst_lower,docTokenSeqLast_lower,reflexive,pronType,definite,identifiable,semrole,lexicality,referential,unitLastWord,treeParent,verbID,verbWord,lemma,suffix,force,evidMod,TA,subord,gender,number,verbTokenSeqFirst,noPrevMentions,noPrevZero,noNextMentions,noNextZero,allPrevMentions,allPrevZero,allNextMentions,allNextZero,noPrevMentionsFar,noPrevZeroFar,noNextMentionsFar,noNextZeroFar,bridge,haveBridges,local
K0lnmBkAXK7,young-fight1-11786,ax7oUmhuvAp,roke6MlvMsf,bACKCf7z0Xi,20,4,5,1,2,P,,,,,dngul ,དངུལ་,5,5,176,176,3,dngul,NA,10,thing,refexpr,23,23,mzupqSgY78a,,དངུལ,དངུལ,NA,,,FALSE,3,RnCO63r0L2H,young-fight1-11786,21.51561779216604,23.025269935256578,NA,NA,19.9,འོ་གང་ལ་ཁ་ལག་བཏང་དགོས་ཡོད་ཟེར། ངའི་རྩར་ནས་དངུལ་ཁྱེར་བྱས་ཕར་སྤྲད་པ་རེད། ,23.025269935256578,21.51561779216604,He told me that he needs to offer lavish meal to his superiors.,23,10,ངའི་རྩར་ནས་དངུལ་ཁྱེར་བྱས་ཕར་སྤྲད་པ་རེད། ,བཀྲ་ཤིས་ནོར་བུ་,22.999,ང འི་ རྩར་ ནས་ དངུལ་ ཁྱེར་ བྱས་ ཕར་ སྤྲད་པ་ རེད །,nga 'i  rtsar  nas  dngul  khyer  byas  phar  sprad pa  red /,172,182,N,nonPron,na,i,theme,l,R,ང འི་ རྩར་ ནས་ དངུལ་ ཁྱེར་ བྱས་ ཕར་ སྤྲད་པ་ རེད །,EUEddb50EIN,ZnPom6R47Ol,ཁྱེར་ བྱས་,ཁྱེར,བྱས,Ind,None,Neutral,Conv,N,pl,177,1,0,2,0,3,0,5,0,2,0,3,0,0,FALSE,FALSE
nssgld0Cc0T,young-fight1-11786,Fd0GMhmX5EP,UJfIWtjWWEY,3hPuyyZ8UcM,77,9,8,1,9,A,,,,,khyod rang ,ཁྱོད་རང་,2,2,184,184,4,bkra shis nor bu,NA,18,person,refexpr,24,24,rrlYB8a5Se7,,ཁྱོད་རང,ཁྱོད་རང,NA,,,FALSE,2,ebRcgGt0RPQ,young-fight1-11786,23.014401302461422,24.272444755036872,NA,NA,23.0,ཀས་ཁྱོད་རང་མ་པིན་བཤད་མི་དགོས་ལྟ། ,24.272444755036872,23.014401302461422,Don't lie to me.,24,11,ཀས་ཁྱོད་རང་མ་པིན་བཤད་མི་དགོས་ལྟ། ,བསྐལ་བཟང་ཕུན་ཚོགས་,24.532,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,kas  khyod rang  ma pin  bshad  mi  dgos  lta /,183,190,N,pers,d,i,agent,p,R,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,kecN81CAFwb,j8eqFqwH41K,བཤད་ མི་ དགོས་,བཤད,མི་ དགོས,Ind,Ego,Neutral,NA,M,sg,186,2,0,1,0,6,2,3,2,4,2,2,2,0,FALSE,TRUE
S36WmcnDrcQ,young-fight1-11786,Nu1RbpfQUZ5,,1PIZqEpicWP,N/A,1,6,1,N/A,P,,,,,ma pin ,མ་པིན་,3,3,185,185,20,ma pin,NA,3,event,refexpr,24,24,fP3nyYQqs0K,,མ་པིན,མ་པིན,NA,,,FALSE,3,ebRcgGt0RPQ,young-fight1-11786,23.014401302461422,24.272444755036872,NA,NA,23.0,ཀས་ཁྱོད་རང་མ་པིན་བཤད་མི་དགོས་ལྟ། ,24.272444755036872,23.014401302461422,Don't lie to me.,24,11,ཀས་ཁྱོད་རང་མ་པིན་བཤད་མི་དགོས་ལྟ། ,བསྐལ་བཟང་ཕུན་ཚོགས་,24.532,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,kas  khyod rang  ma pin  bshad  mi  dgos  lta /,183,190,N,nonPron,na,n,theme,l,NR,ཀས་ ཁྱོད་རང་ མ་པིན་ བཤད་ མི་ དགོས་ ལྟ །,kecN81CAFwb,j8eqFqwH41K,བཤད་ མི་ དགོས་,བཤད,མི་ དགོས,Ind,Ego,Neutral,NA,N,sg,186,0,0,2,0,0,0,2,0,0,0,0,0,0,FALSE,FALSE
ukW25FeZ1q8,young-fight1-11786,Fd0GMhmX5EP,tqS51qoSgbs,CNSyzFkBY6x,7,10,2,1,1,A,,,,,nga ,ང་,1,1,191,191,4,bkra shis nor bu,NA,18,person,refexpr,25,25,tn7YsAhBF2N,,ང,ང,NA,,,FALSE,1,1uHKtSbdSl9,young-fight1-11786,24.450306070745818,25.920915485997806,NA,NA,24.533,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་འདིར། ,25.920915485997806,24.450306070745818,Why should I lie to you?,25,12,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་,བཀྲ་ཤིས་ནོར་བུ་,26.066,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,nga  khyod rang  la  ma pin  bshad  na  gang  byed  dgos  kyi  red ,191,201,N,pers,d,i,agent,p,R,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,swjvkhTtLE9,7LI2Z2e3ySY,བཤད་ ན་,བཤད,ན,Q?,None,Neutral,Cond,M,sg,195,3,0,0,0,7,2,2,2,4,2,2,2,0,FALSE,TRUE
CNHVEDmqhtA,young-fight1-11786,xYqeJ8kryr0,e9PgKT0k1VG,jH6bF92Gg2M,140,4,11,2,18,R,,,,,khyod rang  la ,ཁྱོད་རང་ ལ་,2,3,192,193,2,bskal bzang phun tshogs,NA,8,person,refexpr,25,25,Fc3YkT1MbXb,,ཁྱོད་རང་ ལ,ཁྱོད་རང,ལ,,,FALSE,2,1uHKtSbdSl9,young-fight1-11786,24.450306070745818,25.920915485997806,NA,NA,24.533,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་འདིར། ,25.920915485997806,24.450306070745818,Why should I lie to you?,25,12,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་,བཀྲ་ཤིས་ནོར་བུ་,26.066,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,nga  khyod rang  la  ma pin  bshad  na  gang  byed  dgos  kyi  red ,191,201,N,pers,d,i,NA,p,R,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,swjvkhTtLE9,7LI2Z2e3ySY,བཤད་ ན་,བཤད,ན,Q?,None,Neutral,Cond,M,sg,195,0,0,2,0,2,1,3,1,2,1,1,1,0,FALSE,TRUE
BFWWSX7INsR,young-fight1-11786,Nu1RbpfQUZ5,cllHjhP2xNc,qSBY2cj2wW4,9,2,6,1,1,T,,,,,ma pin ,མ་པིན་,4,4,194,194,20,ma pin,NA,3,event,refexpr,25,25,X6iUsB2Ry3w,,མ་པིན,མ་པིན,NA,,,FALSE,3,1uHKtSbdSl9,young-fight1-11786,24.450306070745818,25.920915485997806,NA,NA,24.533,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་འདིར། ,25.920915485997806,24.450306070745818,Why should I lie to you?,25,12,ང་ཁྱོད་རང་ལ་མ་པིན་བཤད་ན་གང་བྱེད་དགོས་ཀྱི་རེད་,བཀྲ་ཤིས་ནོར་བུ་,26.066,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,nga  khyod rang  la  ma pin  bshad  na  gang  byed  dgos  kyi  red ,191,201,N,nonPron,na,n,NA,l,NR,ང་ ཁྱོད་རང་ ལ་ མ་པིན་ བཤད་ ན་ གང་ བྱེད་ དགོས་ ཀྱི་ རེད་,swjvkhTtLE9,7LI2Z2e3ySY,བཤད་ ན་,བཤད,ན,Q?,None,Neutral,Cond,N,sg,195,1,0,1,0,1,0,1,0,0,0,0,0,0,FALSE,FALSE
yCsKg5UR0Ds,young-fight1-11786,xYqeJ8kryr0,JQifAbjhHpt,LWSu4LHeHrY,27,5,4,2,4,A,,,,,nga sa ,ང ས་,1,2,219,220,2,bskal bzang phun tshogs,NA,8,person,refexpr,29,29,T4ZD6KXixBd,,ང ས,ང,ས,,,FALSE,1,ZzqXFNZkmgA,young-fight1-11786,27.879146726153866,28.660001282924835,NA,NA,27.8,ངས་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། དངུལ་ཅི་དག་རག་མི་འདུག་གཱ་ཡར་པ་ཡར། ,28.660001282924835,27.879146726153866,He did not receive any money from you.,29,14,ངས་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། ,བསྐལ་བཟང་ཕུན་ཚོགས་,29.632,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,nga sa  'go khrid  rtsar  la  phyin pa  yin /,219,226,N,pers,d,i,agent,p,R,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,Lf23PDA7dfk,q1GIm53giiP,ཕྱིན་པ་ ཡིན,ཕྱིན,པ་ ཡིན,Ind,Ego,Past,NA,M,sg,224,1,0,1,0,3,1,2,1,2,1,1,1,0,FALSE,TRUE
VMVdeVhKFXD,young-fight1-11786,aG9lQDzeprB,,W53A5cgKnYz,N/A,1,17,3,N/A,G,,,,,'go khrid  rtsar  la ,འགོ་ཁྲིད་ རྩར་ ལ་,3,5,221,223,22,'go khrid rtrsar la,NA,2,location,refexpr,29,29,SbHwIzXbSMh,,འགོ་ཁྲིད་ རྩར་ ལ,འགོ་ཁྲིད་རྩར,ལ,,,FALSE,3,ZzqXFNZkmgA,young-fight1-11786,27.879146726153866,28.660001282924835,NA,NA,27.8,ངས་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། དངུལ་ཅི་དག་རག་མི་འདུག་གཱ་ཡར་པ་ཡར། ,28.660001282924835,27.879146726153866,He did not receive any money from you.,29,14,ངས་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། ,བསྐལ་བཟང་ཕུན་ཚོགས་,29.632,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,nga sa  'go khrid  rtsar  la  phyin pa  yin /,219,226,N,nonPron,na,i,goal,l,R,ང ས་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,Lf23PDA7dfk,q1GIm53giiP,ཕྱིན་པ་ ཡིན,ཕྱིན,པ་ ཡིན,Ind,Ego,Past,NA,N,sg,224,0,0,0,0,0,0,1,0,0,0,1,0,0,FALSE,FALSE
YCxrbZ6r2L8,young-fight1-11786,ax7oUmhuvAp,HRIICMXyPgZ,7QTVxd7ODel,6,8,20,5,1,P,,,,,nga 'i  dngul  'di  gas ,ང འི་ དངུལ་ འདི་ གས་,2,6,251,255,3,dngul,NA,10,thing,refexpr,35,35,lmDPUo5vTVy,,ང འི་ དངུལ་ འདི་ གས,ངའི་དངུལ་འདི་གས,NA,,,FALSE,3,95xzxJXEdXw,young-fight1-11786,32.51631672945795,33.52275149151831,NA,NA,31.567,སྤྲད་ཁོ་རང་མི་འདུགངའི་དངུལ་འདི་གས་ག་པར་བཏང་པ། ,33.52275149151831,32.51631672945795,You didn't. Where you spent my money?,35,16,ངའི་དངུལ་འདི་གས་ག་པར་བཏང་པ། ,བསྐལ་བཟང་ཕུན་ཚོགས་,33.532,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །, nga 'i  dngul  'di  gas  ga pa ra  btang pa /,250,259,N,nonPron,na,i,theme,l,R,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །,nEbN4T3D1NO,CPFROFkcia1,བཏང་པ,བཏང,པ,Q,None,Neutral,Nom?,N,pl,258,2,1,2,1,6,1,2,1,4,0,0,0,0,FALSE,FALSE
UoNUWSPGmln,young-fight1-11786,NwGXK9RXfNK,,svVXJaUayrU,N/A,1,6,2,N/A,G,,,,,ga pa ra ,ག་པ ར་,7,8,256,257,23,dngul yod sa,NA,1,location,refexpr,35,35,RNdmLPEKZXg,,ག་པ ར,ག་པ,ར,,,FALSE,3,95xzxJXEdXw,young-fight1-11786,32.51631672945795,33.52275149151831,NA,NA,31.567,སྤྲད་ཁོ་རང་མི་འདུགངའི་དངུལ་འདི་གས་ག་པར་བཏང་པ། ,33.52275149151831,32.51631672945795,You didn't. Where you spent my money?,35,16,ངའི་དངུལ་འདི་གས་ག་པར་བཏང་པ། ,བསྐལ་བཟང་ཕུན་ཚོགས་,33.532,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །, nga 'i  dngul  'di  gas  ga pa ra  btang pa /,250,259,N,inter,i,n,goal,p,R,<0> ང འི་ དངུལ་ འདི་ གས་ ག་པ ར་ བཏང་པ །,nEbN4T3D1NO,CPFROFkcia1,བཏང་པ,བཏང,པ,Q,None,Neutral,Nom?,N,sg,258,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
cpzWTFuy18T,young-fight1-11786,w0h9gbTLgbQ,,yEtFtxydj2q,N/A,1,10,1,N/A,S,,,,,byung 'dzin ,བྱུང་འཛིན་,4,4,266,266,24,byung 'dzin,NA,5,thing,refexpr,38,38,w50CtYzB56m,,བྱུང་འཛིན,བྱུང་འཛིན,NA,,,FALSE,3,I1HuCnqjUUD,young-fight1-11786,34.26778171240928,36.19822769998195,NA,NA,33.533,འ་དངུལ་ཁོ་རང་དངུལ་ཁོ་རང་ད་དུང་བྱུང་འཛིན་ངའི་ལག་པར་བསྡད་ཡོད་། ད་དུང་། ,36.19822769998195,34.26778171240928,I have the receipt with me to prove my claim.,38,17,དངུལ་ཁོ་རང་ད་དུང་བྱུང་འཛིན་ངའི་ལག་པར་བསྡད་ཡོད་། ,བཀྲ་ཤིས་ནོར་བུ་,36.432,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,dngul  kho rang  da dung  byung 'dzin  nga 'i  lag pa ra  bsdad  yod  /,263,273,N,nonPron,na,i,agent,l,R,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,RZjn7LIBo3p,Szv0IISxjXq,བསྡད་ ཡོད་,བསྡད,ཡོད,Ind,Ego,Cont,NA,N,sg,271,0,0,1,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE
4t8apAMyNQR,young-fight1-11786,2hHSL3BZavV,,FRCUYawxpNq,N/A,1,13,4,N/A,OBL,,,,,nga 'i  lag pa ra ,ང འི་ ལག་པ ར་,5,8,267,270,25,nga'i lag par,NA,1,location,refexpr,38,38,Fhr9Ibt8Bbv,,ང འི་ ལག་པ ར,ངའི་ལག་པ,ར,,,FALSE,3,I1HuCnqjUUD,young-fight1-11786,34.26778171240928,36.19822769998195,NA,NA,33.533,འ་དངུལ་ཁོ་རང་དངུལ་ཁོ་རང་ད་དུང་བྱུང་འཛིན་ངའི་ལག་པར་བསྡད་ཡོད་། ད་དུང་། ,36.19822769998195,34.26778171240928,I have the receipt with me to prove my claim.,38,17,དངུལ་ཁོ་རང་ད་དུང་བྱུང་འཛིན་ངའི་ལག་པར་བསྡད་ཡོད་། ,བཀྲ་ཤིས་ནོར་བུ་,36.432,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,dngul  kho rang  da dung  byung 'dzin  nga 'i  lag pa ra  bsdad  yod  /,263,273,N,nonPron,na,i,location/goal,l,R,དངུལ་ ཁོ་རང་ ད་དུང་ བྱུང་འཛིན་ ང འི་ ལག་པ ར་ བསྡད་ ཡོད་ །,RZjn7LIBo3p,Szv0IISxjXq,བསྡད་ ཡོད་,བསྡད,ཡོད,Ind,Ego,Cont,NA,N,sg,271,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
YR6KQUKx9Rt,young-fight1-11786,w0h9gbTLgbQ,uYtphYej6D5,IxBi7A0306I,12,3,10,1,2,EXIST,,,,,byung 'dzin ,བྱུང་འཛིན་,1,1,288,288,24,byung 'dzin,NA,5,thing,refexpr,42,42,SRqKGp3KwxZ,,བྱུང་འཛིན,བྱུང་འཛིན,NA,,,FALSE,3,w0GeI3GeY8g,young-fight1-11786,37.3868618586222,37.86405075442668,NA,NA,36.433,ག་པར་ཡོད། མིག་སྟོན་དང་མིག་སྟོན་དང་བྱུང་འཛིན་ག་པར་ཡོད། ,37.86405075442668,37.3868618586222,Where is it? Show me the receipt.,42,18,བྱུང་འཛིན་ག་པར་ཡོད། ,བསྐལ་བཟང་ཕུན་ཚོགས་,37.932,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,byung 'dzin  ga pa ra  yod /,288,292,N,nonPron,na,i,none,l,R,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,N4U1ycLOG4g,zvoDRdx2AYq,ཡོད,ཡོད,,Q,Ego,Neutral,NA,N,sg,291,1,1,0,1,1,1,0,1,0,0,0,0,0,FALSE,FALSE
R4ajzubHPkq,young-fight1-11786,jD8PVrjpsm9,z85CYyJmRUQ,ML8PHK1oooI,12,2,6,2,2,COPLOC,,,,,ga pa ra ,ག་པ ར་,2,3,289,290,26,byung 'dzin yod sa,NA,3,location,refexpr,42,42,Dg9nhLVtWRl,,ག་པ ར,ག་པ,ར,,,FALSE,3,w0GeI3GeY8g,young-fight1-11786,37.3868618586222,37.86405075442668,NA,NA,36.433,ག་པར་ཡོད། མིག་སྟོན་དང་མིག་སྟོན་དང་བྱུང་འཛིན་ག་པར་ཡོད། ,37.86405075442668,37.3868618586222,Where is it? Show me the receipt.,42,18,བྱུང་འཛིན་ག་པར་ཡོད། ,བསྐལ་བཟང་ཕུན་ཚོགས་,37.932,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,byung 'dzin  ga pa ra  yod /,288,292,N,inter,i,n,location/goal,p,R,བྱུང་འཛིན་ ག་པ ར་ ཡོད །,N4U1ycLOG4g,zvoDRdx2AYq,ཡོད,ཡོད,,Q,Ego,Neutral,NA,N,sg,291,1,0,1,0,1,0,1,0,0,0,0,0,0,FALSE,FALSE
JdNLyPaJ72c,young-fight1-11786,Fd0GMhmX5EP,IrigJmnmwp6,PNg2TmI0zzp,7,16,4,2,1,A,,,,,nga sa ,ང ས་,1,2,313,314,4,bkra shis nor bu,NA,18,person,refexpr,46,46,Qrb75sO8BKx,,ང ས,ང,ས,,,FALSE,1,BUWQN4sRuS1,young-fight1-11786,39.9849304171778,41.0390840688186,NA,NA,40.2,ངས་ནང་ལ་བཞག་ཡོད་ལྟ། ,41.0390840688186,39.9849304171778,I left it at home.,46,21,ངས་ནང་ལ་བཞག་ཡོད་ལྟ། ,བཀྲ་ཤིས་ནོར་བུ་,41.066,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,nga sa   nang  la  bzhag  yod  lta /,313,321,N,pers,d,i,agent,p,R,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,alpsRKAqHhZ,h2wwLha1bnf,བཞག་ ཡོད་,བཞག,ཡོད,Ind,Ego,Perf,NA,M,sg,318,0,2,1,2,8,7,1,7,8,5,0,5,0,FALSE,TRUE
AtUkeWoYz28,young-fight1-11786,wstbG4XtZPk,B378zR7lzsr,4CyGiDoRIde,22,2,6,2,3,OBL,,,,,nang  la ,ནང་ ལ་,4,5,316,317,27,bkra shis nor bu'i nang,NA,3,location,refexpr,46,46,tXqjudMSI64,,ནང་ ལ,ནང,ལ,,,FALSE,3,BUWQN4sRuS1,young-fight1-11786,39.9849304171778,41.0390840688186,NA,NA,40.2,ངས་ནང་ལ་བཞག་ཡོད་ལྟ། ,41.0390840688186,39.9849304171778,I left it at home.,46,21,ངས་ནང་ལ་བཞག་ཡོད་ལྟ། ,བཀྲ་ཤིས་ནོར་བུ་,41.066,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,nga sa   nang  la  bzhag  yod  lta /,313,321,N,nonPron,na,i,location/goal,l,R,ང ས་ <0> ནང་ ལ་ བཞག་ ཡོད་ ལྟ །,alpsRKAqHhZ,h2wwLha1bnf,བཞག་ ཡོད་,བཞག,ཡོད,Ind,Ego,Perf,NA,N,sg,318,1,0,1,0,1,0,1,0,0,0,0,0,0,FALSE,FALSE
ew2wkuGfnui,young-fight1-11786,xYqeJ8kryr0,1ydtxXh1gRT,23iYDazsjXB,85,8,4,2,14,S,,,,,nga sa ,ང ས་,1,2,330,331,2,bskal bzang phun tshogs,NA,8,person,refexpr,48,48,U4Ce7F2tapM,,ང ས,ང,ས,,,FALSE,1,BB5GQu0rH4J,young-fight1-11786,41.89368600039572,42.895782681585125,NA,NA,41.067,ག་རེའི་ནང་ལ་བཞག་ཡོད། ངས་ཁ་སང་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། གལ་ག་གཅིག་རག་མི་འདུག་ཁྱོད་རང། ,42.895782681585125,41.89368600039572,"What a nonsense! The other day, I met the concerned officer. He did not receive a penny.",48,22,ངས་ཁ་སང་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། ,བསྐལ་བཟང་ཕུན་ཚོགས་,45.5,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,nga sa  kha sang  'go khrid  rtsar  la  phyin pa  yin /,330,338,N,pers,d,i,agent,p,R,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,JOCz3dUI7hJ,9QiQoD9Vr3T,ཕྱིན་པ་ ཡིན,ཕྱིན,པ་ ཡིན,Ind,Ego,Past,NA,M,sg,336,0,0,0,0,5,2,0,2,5,2,0,2,0,FALSE,TRUE
V5EARPFD8Rc,young-fight1-11786,aG9lQDzeprB,HeLfFcocmAR,fkfLkonpOs0,111,2,17,3,19,G,,,,,'go khrid  rtsar  la ,འགོ་ཁྲིད་ རྩར་ ལ་,4,6,333,335,22,'go khrid rtrsar la,NA,2,location,refexpr,48,48,wp0jTUAijDo,,འགོ་ཁྲིད་ རྩར་ ལ,འགོ་ཁྲིད་རྩར,ལ,,,FALSE,3,BB5GQu0rH4J,young-fight1-11786,41.89368600039572,42.895782681585125,NA,NA,41.067,ག་རེའི་ནང་ལ་བཞག་ཡོད། ངས་ཁ་སང་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། གལ་ག་གཅིག་རག་མི་འདུག་ཁྱོད་རང། ,42.895782681585125,41.89368600039572,"What a nonsense! The other day, I met the concerned officer. He did not receive a penny.",48,22,ངས་ཁ་སང་འགོ་ཁྲིད་རྩར་ལ་ཕྱིན་པ་ཡིན། ,བསྐལ་བཟང་ཕུན་ཚོགས་,45.5,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,nga sa  kha sang  'go khrid  rtsar  la  phyin pa  yin /,330,338,N,nonPron,na,i,goal,l,R,ང ས་ ཁ་སང་ འགོ་ཁྲིད་ རྩར་ ལ་ ཕྱིན་པ་ ཡིན །,JOCz3dUI7hJ,9QiQoD9Vr3T,ཕྱིན་པ་ ཡིན,ཕྱིན,པ་ ཡིན,Ind,Ego,Past,NA,N,sg,336,0,0,0,0,1,0,0,0,1,0,0,0,0,FALSE,FALSE
